name,count
Albany Park,1155
Andersonville,163
Archer Heights,938
Armour Square,265
Ashburn,1465
Auburn Gresham,1996
Austin,4763
Avalon Park,697
Avondale,1404
Belmont Cragin,2769
Beverly,768
Boystown,103
Bridgeport,732
Brighton Park,1627
Bucktown,799
Burnside,90
Calumet Heights,676
Chatham,1986
Chicago Lawn,1967
Chinatown,360
Clearing,885
Douglas,678
Dunning,1233
East Side,536
East Village,178
Edgewater,1379
Edison Park,262
Englewood,3066
Fuller Park,411
Gage Park,1406
Galewood,323
Garfield Park,2580
Garfield Ridge,1698
Gold Coast,403
Grand Boulevard,925
Grand Crossing,2232
Grant Park,456
Greektown,131
Hegewisch,335
Hermosa,632
Humboldt Park,2731
Hyde Park,766
Irving Park,1815
Jackson Park,438
Jefferson Park,787
Kenwood,523
Lake View,2140
Lincoln Park,1598
Lincoln Square,882
"Little Italy, UIC",1783
Little Village,2128
Logan Square,1637
Loop,2643
Lower West Side,1827
Magnificent Mile,355
Mckinley Park,818
Millenium Park,113
Montclare,478
Morgan Park,947
Mount Greenwood,510
Museum Campus,355
Near South Side,1011
New City,1679
North Center,920
North Lawndale,1963
North Park,729
Norwood Park,1158
O'Hare,720
Oakland,208
Old Town,551
Portage Park,1982
Printers Row,93
Pullman,350
River North,2106
Riverdale,304
Rogers Park,1249
Roseland,1492
Rush & Division,250
"Sauganash,Forest Glen",664
Sheffield & DePaul,213
South Chicago,748
South Deering,976
South Shore,1874
Streeterville,1256
Ukrainian Village,256
United Center,917
Uptown,1454
Washington Heights,1257
Washington Park,751
West Elsdon,644
West Lawn,1385
West Loop,1965
West Pullman,929
West Ridge,2169
West Town,1542
Wicker Park,816
Woodlawn,839
Wrigleyville,212
